neighbourhood,avg_property_price,price_per_sqft,estimated_apartment_cost
flatiron,121075000,892.39,535432.3
tribeca,44266516.62,1215.17,729100.42
harlem-east,29667511.24,589.29,353572.14
"kips bay",29433333.33,760.12,456074.27
"midtown cbd",26921740.5,2321.58,1392948
"morningside heights",23948750,492.95,295768.55
downtown-metrotech,19698000,479.97,287984.34
"upper east side (59-79)",17995424.83,1898.16,1138898.54
"upper west side (59-79)",15171038.5,742.37,445423.24
"downtown-fulton ferry",15000000,528.95,317370.76
"upper east side (79-96)",13887104.81,1800.89,1080533.24
"midtown west",13505617.5,2880.98,1728585.65
southbridge,13291666.67,1175.51,705307.62
"greenwich village-central",12466687.5,1666.1,999658.28
"navy yard",12099699.33,434.82,260890.26
"lower east side",10397872.31,943.07,565843.47
"east village",9333453.85,1195.51,717303.77
"greenwich village-west",9319593.6,2576.78,1546065.19
chinatown,8892857.14,707.73,424640.39
harlem-central,8579380.09,811.96,487175.57
williamsburg-south,8454148.5,630.13,378076.54
"upper west side (96-116)",7976400.36,496.92,298154.94
"little italy",7421115.25,811.42,486850.92
"manhattan valley",7216830.6,334.02,200409.45
chelsea,7003213.42,1564.02,938414.46
"midtown east",6796818.18,1376.6,825959.05
gramercy,6689687.5,1088.04,652822.96
harlem-west,6687179.83,277.65,166589.96
"murray hill",6541610,795.1,477061.53
"upper west side (79-96)",6320694.69,670.63,402376.73
"washington heights upper",6278662.33,339.37,203623.36
williamsburg-north,5945612.81,1230.11,738063.42
soho,5861728.77,475.17,285104.09
"downtown-fulton mall",5809689,1178.61,707166.42
"brooklyn heights",5429102.56,1377.34,826404.49
"javits center",5300000,840.52,504312.67
gowanus,5100161.61,1225.63,735380.79
clinton,4670000,774.99,464995.92
"washington heights lower",4214461.58,385.99,231591.52
"fort greene",3904627.61,744.01,446406.45
"cobble hill",3895573.79,1110.34,666206.87
williamsburg-east,3761429.28,685.14,411083.65
"park slope",3748777.97,919.56,551738.53
greenpoint,3283702.33,814.49,488692.25
"carroll gardens",3127222.24,1010.04,606025.25
financial,2890625,505.67,303399.07
"boerum hill",2816366.91,918.77,551261.62
"alphabet city",2556326.37,301.25,180749.02
"prospect heights",2432400,831.66,498994
williamsburg-central,2417413.4,630.92,378550.06
fashion,2400000,597.16,358298.08
"clinton hill",2314471.77,670.14,402086.85
harlem-upper,2248649.77,476.93,286157.84
brownsville,2106366.71,625.85,375512.37
flatbush-central,2050610.84,547.47,328483.05
"red hook",1944339.31,866.91,520144.66
"ocean parkway-north",1806652.28,633.41,380045.21
"bedford stuyvesant",1776412.8,546.76,328057.85
inwood,1749268.24,266.23,159735.83
"park slope south",1711047.12,897.27,538359.63
"windsor terrace",1692142.86,930.63,558375.91
"crown heights",1625276.56,398.88,239328.08
"cobble hill-west",1611048.6,615.69,369416.55
"flatbush-lefferts garden",1545869.38,567.66,340596.88
"manhattan beach",1438736.63,624.53,374718.66
"sunset park",1425233.76,548.71,329228.66
"borough park",1411851.23,557.73,334639.7
"wyckoff heights",1369875.67,338.27,202961.29
midwood,1366075.78,524.51,314706.46
kensington,1346259.26,571.67,342999.73
"ocean hill",1322673.99,396.26,237756.55
"ocean parkway-south",1298464.47,588.25,352948.25
bensonhurst,1291003.2,539.51,323707.95
bushwick,1248711.55,411.88,247125.31
"bay ridge",1240897.8,559.56,335737.16
"bath beach",1210629.99,543.02,325810.82
"bush terminal",1185371.83,458.99,275391.1
"dyker heights",1176807.11,610,366000.71
gravesend,1161651.73,540.24,324145.4
madison,1049282.61,528.8,317278.07
"mill basin",1004167.17,408.79,245276.16
"sheepshead bay",935006.08,498.89,299336.63
"civic center",913192,92.26,55356.72
seagate,784148.15,321.47,192884.33
"bergen beach",762334.13,375.67,225399.77
flatbush-north,754313.95,319.7,191819.24
"marine park",672804.91,464.5,278701.7
"brighton beach",656510.43,379.06,227438.46
flatbush-east,637926.91,348.09,208854.73
"cypress hills",620332.28,291.53,174916.02
"east new york",597009.37,285.09,171051.29
canarsie,592536.07,309.12,185473.74
"old mill basin",590479.44,404.1,242457.49
flatlands,580157.77,335.84,201504.33
"spring creek",573353.89,305.41,183245.16
"coney island",570758.06,350.79,210476.96
"gerritsen beach",522694.88,7069.63,4241776.29
